"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2026","68,439.6","70,892.9","71,361.1","68,241.3","78.74K","-3.45%"
"03/05/2026","70,887.5","72,744.3","73,540.2","70,661.7","89.38K","-2.59%"
"03/04/2026","72,768.7","68,319.3","74,031.0","67,426.4","136.55K","6.51%"
"03/03/2026","68,318.5","68,802.7","69,213.3","66,288.7","80.59K","-0.69%"
"03/02/2026","68,790.8","65,806.6","69,986.4","65,307.8","108.80K","4.60%"
"03/01/2026","65,763.3","66,990.7","68,159.2","65,093.1","71.35K","-1.84%"
"02/28/2026","66,995.0","65,881.5","67,657.4","63,068.7","78.94K","1.71%"
"02/27/2026","65,870.2","67,487.7","68,190.8","65,018.7","75.21K","-2.39%"
"02/26/2026","67,482.1","67,987.2","68,842.9","66,573.7","72.07K","-0.73%"
"02/25/2026","67,978.8","64,058.2","69,819.3","63,930.4","105.59K","6.14%"
"02/24/2026","64,048.8","64,655.2","65,002.3","62,650.1","79.66K","-0.95%"
"02/23/2026","64,662.7","67,640.0","67,665.4","63,939.0","108.84K","-4.41%"
"02/22/2026","67,642.9","68,003.0","68,243.1","67,197.7","32.60K","-0.54%"
"02/21/2026","68,011.1","68,018.1","68,673.3","67,556.4","31.40K","-0.02%"
"02/20/2026","68,023.5","66,983.7","68,299.4","66,501.8","90.38K","1.56%"
"02/19/2026","66,978.9","66,466.7","67,304.6","65,653.5","53.72K","0.76%"
"02/18/2026","66,473.2","67,495.7","68,445.8","65,896.5","56.70K","-1.51%"
"02/17/2026","67,490.9","68,889.4","69,174.4","66,649.2","54.94K","-2.03%"
"02/16/2026","68,890.7","68,818.7","70,076.0","67,315.0","52.19K","0.11%"
"02/15/2026","68,813.8","69,797.0","70,961.2","68,076.1","59.22K","-1.39%"
"02/14/2026","69,784.4","68,828.7","70,494.5","68,725.6","56.53K","1.31%"
"02/13/2026","68,883.4","66,234.1","69,405.5","65,871.0","70.10K","3.98%"
"02/12/2026","66,248.7","67,048.8","68,349.5","65,138.1","79.76K","-1.19%"
"02/11/2026","67,048.8","68,809.2","69,273.9","65,790.0","89.97K","-2.56%"
"02/10/2026","68,810.3","70,122.7","70,474.2","67,958.3","70.29K","-1.88%"
"02/09/2026","70,127.9","70,356.0","71,379.5","68,389.3","89.05K","-0.30%"
"02/08/2026","70,342.0","69,318.8","72,204.2","68,888.1","64.85K","1.48%"
"02/07/2026","69,319.5","70,556.0","71,570.4","67,397.4","113.64K","-1.75%"
"02/06/2026","70,555.7","62,863.8","71,696.0","60,187.0","234.06K","12.25%"
